date,exercise,weight,reps,user
2024-02-12,pull ups,60,7,ha
2024-02-12,pull ups,60,5,ha
2024-02-12,seared row,50,10,ha
2024-02-12,seared row,50,12,ha
2024-02-12,triceps,20,15,ha
2024-02-12,triceps,20,6,ha
2024-02-12,overhead dumbbell,15,7,ha
2024-02-12,overhead dumbbell,15,7,ha
2024-02-12,face pull,45,11,ha
2024-02-10,strange bent pull,10.5,5,ha
2024-02-10,dumbbell pushups,15,10,ha
2024-02-06,pulldown,60,6,ha
2024-02-06,pull ups,60,8,ha
2024-02-06,pull ups,60,2,ha
2024-02-06,seared row,50,10,ha
2024-02-06,seared row,50,12,ha
2024-02-06,triceps,20,15,ha
2024-02-06,triceps,20,6,ha
2024-02-05,overhead dumbbell,15,7,ha
2024-02-05,overhead dumbbell,15,7,ha
2024-02-05,face pull,45,11,ha 